acousticness,album,artist,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,playlist,popularity,speechiness,tempo,time_signature,track_id,track_name,valence
0.000665,"Adaobi (feat. Don Jazzy, Di'ja, Reekado Banks & Korede Bello)",Mavins,0.701,260063,0.898,0.185,7,0.156,-5.932,0,Afrobeats 2014,39.0,0.0837,128.045,4,6akx8GkfWirUJVSiof4FYP,"Adaobi (feat. Don Jazzy, Di'ja, Reekado Banks & Korede Bello)",0.901
0.0281,DeYaaa,Kwamz & Flava,0.842,209502,0.61,0.0288,9,0.0927,-6.91,1,Afrobeats 2014,38.0,0.096,110.003,4,2dguh4zWtrZK6VIJsEsXhe,Wo Onane No,0.644
0.302,Woju (Remix) [feat. Davido & Tiwa Savage],Kiss Daniel,0.788,204278,0.907,1.93e-06,7,0.0334,-2.734,1,Afrobeats 2015,43.0,0.0459,113.951,4,5mLjOzvBL124hjJsoT6Ctz,Woju (Remix) [feat. Davido & Tiwa Savage],0.972
0.0533,Hol' It,Shatta Wale,0.712,229093,0.446,0.0,2,0.254,-8.349,0,Afrobeats 2015,2.0,0.34,111.323,4,4UKJ1GiKNGvtyRrMbMQy3M,Hol' It,0.641
0.145,The Money,DaVido,0.818,221309,0.889,0.000383,0,0.0793,-2.387,1,Afrobeats 2015,7.0,0.134,123.982,4,2i418MNsgYexNdHJ3AwCgd,The Money,0.962
0.0502,Feeling The Beat,DJ Jimmy Jatt,0.762,221701,0.897,0.0,7,0.479,-3.153,1,Afrobeats 2015,0.0,0.0705,100.67,4,1v27MyMUbdP9gp3f4IAEA0,Feeling The Beat,0.75
0.23,Elom,El Lomi,0.849,199288,0.83,0.0,0,0.122,-4.951,1,Afrobeats 2015,24.0,0.0631,109.949,4,2AlSWRIoJJ2517aKVkKrQ6,Koko,0.948
0.114,Applaudise,Iyanya,0.379,223947,0.746,0.00156,1,0.234,-7.804,1,Afrobeats 2015,0.0,0.0896,70.891,5,3q6e1OLrwA9Vga7JOBndB8,Mr Oreo,0.846
0.194,Telemo (feat. Capasta),Gasmilla,0.786,254216,0.91,0.0014,8,0.359,-3.157,1,Afrobeats 2015,34.0,0.0338,129.998,4,4xpxDfHUzG8EIxKLYvlS2n,Telemo,0.966
0.119,Break Through,Bisa Kdei,0.671,246884,0.883,0.0,7,0.0401,-3.533,1,Afrobeats 2015,45.0,0.0539,124.94,4,3Aajl2Cw5V0KOIyIbHg6rT,Mansa,0.907
0.0878,Afro High Sound,DJ Blue,0.919,168020,0.572,0.294,11,0.0939,-8.126,0,Afrobeats 2015,40.0,0.109,130.046,4,7nUUjeie8nspkmlWF9LxmJ,Look Like,0.499
